object_id,mission,period_days,duration_hours,depth_ppm,planet_radius_rearth,score,label,label_raw,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded
K00752.01,kepler,9.48803557,2.9575,615.8,2.26,1.0,planet,CONFIRMED,0.012987848301950104,0.10539589492706762,0.024815317850069945,0
K00752.02,kepler,54.4183827,4.507,874.8,2.83,0.969,planet,CONFIRMED,0.003450886581873126,0.018376143324818066,0.02957701810527897,0
K00753.01,kepler,19.89913995,1.7822,10829.0,14.6,0.0,candidate,CANDIDATE,0.0037317358197349296,0.05025342816386394,0.10406248123122953,0
K00754.01,kepler,1.736952453,2.40641,8079.2,33.46,0.0,fp,FALSE POSITIVE,0.057725865299395926,0.5757209981613699,0.0898843701652295,0
K00755.01,kepler,2.525591777,1.6545,603.3,2.75,1.0,planet,CONFIRMED,0.027295583010603065,0.3959468070441061,0.024562166028263874,0
K00756.01,kepler,11.09432054,4.5945,1517.5,3.9,1.0,planet,CONFIRMED,0.017255450598329294,0.09013620945911484,0.03895510236156491,0
K00756.02,kepler,4.13443512,3.1402,686.0,2.77,1.0,planet,CONFIRMED,0.031646806122009395,0.24187101042233794,0.026191601707417588,0
K00756.03,kepler,2.56658897,2.429,226.5,1.59,0.992,planet,CONFIRMED,0.03943301187542052,0.3896221840305033,0.015049916943292411,0
K00114.01,kepler,7.36178958,5.022,233.7,39.21,0.0,fp,FALSE POSITIVE,0.028423795291361752,0.13583653663733214,0.015287249589118377,0
K00757.01,kepler,16.06864674,3.5347,4914.3,5.76,1.0,planet,CONFIRMED,0.009165623530701047,0.062232994239065594,0.07010206844309232,0
K00001.01,kepler,2.470613377,1.74319,14231.0,13.04,0.811,planet,CONFIRMED,0.02939873852494998,0.40475778578284616,0.11929375507544392,0
K00002.01,kepler,2.204735417,3.88864,6674.7,16.1,1.0,planet,CONFIRMED,0.0734902997508597,0.4535691640318036,0.08169883720102752,0
K00010.01,kepler,3.522498429,3.19843,9145.7,14.59,0.998,planet,CONFIRMED,0.03783335020663161,0.28388940979141597,0.09563315324718726,0
K00112.02,kepler,3.709214104,2.6302,131.1,1.16,1.0,planet,CONFIRMED,0.029545791532627763,0.26959888859518905,0.011449890829173874,0
K00742.01,kepler,11.521446064,3.6399,17984.0,150.51,0.0,fp,FALSE POSITIVE,0.013163495203426405,0.08679466053524373,0.13410443691392168,0
K00743.01,kepler,19.40393776,12.2155,8918.7,7.18,0.0,fp,FALSE POSITIVE,0.026230715278622224,0.05153593112741462,0.0944388691164819,0
K00744.01,kepler,19.221388942,4.79843,74284.0,49.29,0.0,fp,FALSE POSITIVE,0.010401672009063981,0.05202537667894198,0.272550912675045,0
K00745.01,kepler,16.46983774,9.4378,10479.0,7.94,0.0,fp,FALSE POSITIVE,0.023876474855098764,0.060717052334481596,0.10236698686588368,0
K00746.01,kepler,9.27358173,3.2875,1288.3,2.47,1.0,planet,CONFIRMED,0.014770901972378117,0.10783320071089728,0.035892896233098825,0
K00747.01,kepler,6.02930329,1.5821,1912.7,2.85,1.0,planet,CONFIRMED,0.010933408084258661,0.16585664245130385,0.04373442579936314,0
K00748.01,kepler,2.696370652,3.6129,397.9,1.58,0.0,fp,FALSE POSITIVE,0.05582967604559137,0.37086889343579754,0.019947430912275393,0
K00749.01,kepler,5.349553819,3.0278,831.0,2.55,1.0,planet,CONFIRMED,0.02358296366423253,0.18693147762123674,0.02882707061079915,0
K00749.02,kepler,3.94105221,2.5984,363.3,1.7,0.98,planet,CONFIRMED,0.027471512910169405,0.2537393433821066,0.019060430215501432,0
K00749.03,kepler,8.10904807,3.596,217.4,1.3,0.971,planet,CONFIRMED,0.018477302396029988,0.12331903712589534,0.014744490496453244,0
K00113.01,kepler,386.6030528,6.8057,24927.0,41.5,,fp,FALSE POSITIVE,0.0007334935181694803,0.002586632445753931,0.15788286797496429,0
K00750.01,kepler,21.67699193,3.4555,857.2,2.95,1.0,planet,CONFIRMED,0.006642027045616318,0.04613186198662759,0.029277978072264486,0
K00751.01,kepler,4.99677968,2.1717,934.7,2.78,1.0,planet,CONFIRMED,0.018109163460254863,0.20012889581715557,0.03057286378473564,0
K00769.01,kepler,4.280963604,2.875,750.8,2.3,1.0,planet,CONFIRMED,0.02798240717457561,0.2335922685877616,0.02740072991728505,0
K00770.01,kepler,1.50635409,1.5155,2211.7,4.53,0.0,fp,FALSE POSITIVE,0.04191964807778584,0.6638545390081557,0.0470287146326582,0
K00771.01,kepler,670.645531,53.412,18091.0,14.14,0.0,fp,FALSE POSITIVE,0.0033184445390720125,0.0014911006690954897,0.13450278807519195,0
K00772.01,kepler,61.2563628,7.633,5123.3,39.87,0.0,fp,FALSE POSITIVE,0.005191977651449241,0.016324834748432045,0.07157723101657398,0
K00773.01,kepler,38.3775486,5.588,724.2,2.82,1.0,planet,CONFIRMED,0.006066915210246997,0.026056901404067273,0.02691096430825176,0
K00757.02,kepler,41.19725502,4.6297,2213.9,3.86,0.992,planet,CONFIRMED,0.004682451939407556,0.02427346189726793,0.04705209878422003,0
K00757.03,kepler,6.252962249,2.5819,1036.9,2.65,1.0,planet,CONFIRMED,0.017204512418713413,0.15992420235064175,0.03220093166354042,0
K00758.01,kepler,16.01308419,3.2554,1121.9,3.1,1.0,planet,CONFIRMED,0.008470677169821753,0.06244893164456659,0.03349477571204202,0
K00759.01,kepler,32.62876672,4.7971,1804.8,3.36,1.0,planet,CONFIRMED,0.006125857234565642,0.03064780255353764,0.04248293775152561,0
K00759.02,kepler,91.7732862,6.473,652.0,2.12,0.978,planet,CONFIRMED,0.002938854480437395,0.010896417044723848,0.02553429066960741,0
K00760.01,kepler,4.959319244,2.22739,9802.0,12.21,1.0,planet,CONFIRMED,0.018713841981225495,0.20164057823255552,0.09900505037623081,0
K00761.01,kepler,2.701287801,3.3827,860.4,6.54,0.0,fp,FALSE POSITIVE,0.05217727384736867,0.3701938015008272,0.02933257574779276,0
K00762.01,kepler,4.49876511,3.7362,460.0,2.1,1.0,planet,CONFIRMED,0.03460394045778487,0.22228322118377947,0.021447610589527218,0
K00763.01,kepler,19.651209505,5.2514,11766.0,12.42,0.0,fp,FALSE POSITIVE,0.011134598777630473,0.05088745299598799,0.10847119433287346,0
K00115.01,kepler,5.412203927,2.9472,601.6,2.94,1.0,planet,CONFIRMED,0.022689462861401895,0.1847676128778656,0.024527535546809427,0
K00764.01,kepler,41.43958662,10.5989,2793.1,5.5,0.998,planet,CONFIRMED,0.01065697969873555,0.024131514852451973,0.052849787132967715,0
K00765.01,kepler,8.35389523,2.2514,1041.6,2.52,1.0,planet,CONFIRMED,0.01122929253367394,0.11970463747364954,0.03227382840631089,0
K00766.01,kepler,4.125543472,3.1744,1487.3,4.43,1.0,planet,CONFIRMED,0.03206042247872516,0.24239230704681322,0.03856552864930027,0
K00767.01,kepler,2.816504904,2.50587,16814.0,12.21,1.0,planet,CONFIRMED,0.03707121185967585,0.3550499765080473,0.12966880889404359,0
K00768.01,kepler,33.93373447,14.561,8503.7,7.34,0.0,fp,FALSE POSITIVE,0.017879209076434237,0.02946919976886352,0.09221550845709198,0
K00786.01,kepler,3.689920099,2.6557,426.7,1.89,1.0,planet,CONFIRMED,0.029988228389187854,0.27100857828087077,0.020656718035544756,0
K00787.01,kepler,4.431238488,3.15,1010.9,3.25,1.0,planet,CONFIRMED,0.029619258894647876,0.2256705439592219,0.03179465363862295,0
K00787.02,kepler,11.37936986,2.6255,1023.5,3.95,1.0,planet,CONFIRMED,0.009613522952432915,0.08787832826447914,0.03199218654609278,0
K00788.01,kepler,26.39432897,3.573,1510.9,3.07,1.0,planet,CONFIRMED,0.005640416173080683,0.037886926435470585,0.038870297143191485,0
K00116.01,kepler,13.57078281,3.3539,511.7,2.64,1.0,planet,CONFIRMED,0.010297551385934627,0.07368771676628137,0.02262078690054791,0
K00115.02,kepler,7.12594387,3.0014,192.4,1.79,1.0,planet,CONFIRMED,0.01754972191962176,0.14033228695639444,0.013870832707519763,0
K00774.01,kepler,7.442652004,2.3078,24446.0,15.03,0.014,fp,FALSE POSITIVE,0.012919901841662584,0.1343607089868715,0.15635216659835577,0
K00775.01,kepler,16.38489988,3.0249,1127.1,2.0,1.0,planet,CONFIRMED,0.007692296011759335,0.06103180411987968,0.03357231001882355,0
K00775.02,kepler,7.8774163,2.0805,1306.1,2.16,1.0,planet,CONFIRMED,0.011004559959589795,0.1269451761740712,0.03614000553403389,0
K00775.03,kepler,36.4454001,4.007,1122.3,1.99,1.0,planet,CONFIRMED,0.004581053654925668,0.027438304895986036,0.03350074626034471,0
K00776.01,kepler,3.728732147,2.683,5226.5,6.02,1.0,planet,CONFIRMED,0.029981147011755752,0.2681876736049713,0.07229453644640098,0
K00777.01,kepler,40.4195037,3.362,6256.0,7.51,0.999,candidate,CANDIDATE,0.0034657361053479076,0.02474053138856329,0.07909487973314075,0
K00778.01,kepler,2.243380573,1.1196,821.7,1.99,1.0,planet,CONFIRMED,0.02079451010740298,0.4457558436742333,0.02866531004541901,0
K00779.01,kepler,10.405998015,6.5036,14489.0,11.23,0.0,fp,FALSE POSITIVE,0.026041071019110063,0.09609842309776762,0.12037026210821342,0
K00780.01,kepler,2.337437946,1.9982,971.2,2.34,1.0,planet,CONFIRMED,0.03561948392076515,0.4278188440087898,0.03116408188925193,0
K00780.02,kepler,7.2406612,0.558,556.4,19.45,0.993,candidate,CANDIDATE,0.0032110327161834337,0.138108934029395,0.023588132609428835,0
K00115.03,kepler,3.43591631,3.133,23.2,0.55,0.871,candidate,CANDIDATE,0.037993261444329726,0.29104317735841473,0.004816637831516918,0
K00781.01,kepler,11.59822233,2.5237,2804.5,2.65,1.0,planet,CONFIRMED,0.009066403770746361,0.08622010956053125,0.05295753015388841,0
K00782.01,kepler,6.575315881,4.3084,2793.3,5.31,1.0,planet,CONFIRMED,0.02730160343861154,0.15208394822362756,0.05285167925430563,0
K00783.01,kepler,7.275040844,7.5377,3001.0,4.86,1.0,planet,CONFIRMED,0.04317100619336857,0.13745627295340035,0.05478138369920935,0
K00784.01,kepler,19.27153892,2.7594,1219.8,1.93,1.0,planet,CONFIRMED,0.005966051827894188,0.05188999197994511,0.03492563528412905,0
K00784.02,kepler,10.06524317,1.369,1053.3,1.91,1.0,planet,CONFIRMED,0.00566719210884864,0.09935179737937717,0.032454583651619996,0
K00785.01,kepler,12.3935651,3.8896,916.6,2.66,1.0,planet,CONFIRMED,0.013076678531076316,0.08068703330569507,0.03027540255719154,0
